Again?,Rating,Summary,Tag,Title,URL,Ingredients,Directions,Tags
100%,4.0,This genius dessert—a simple lemon tart perfumed with elderflower cordial—comes from the first cookbook of “The Great British Bake Off”’s youngest contestant ever.,recipe,Lemon and Elderflower Tart,/recipes/food/views/lemon-and-elderflower-tart,"Butter, for greasing1 x My Favorite Sweet Shortcrust Pastry recipe3 eggs125g (2/3 cup) caster (superfine) sugarZest and juice of 3 unwaxed lemons150ml (2/3 cup) heavy cream75ml (5 tbsp) elderflower cordialConfectioners' sugar, to dust","Butter a 23cm/9-inch loose-bottomed tart tin, make the pastry, then use it to line the tin and blind bake it according to the instructions. Lower the oven temperature to 340°F/170°C/150°C fan/gas 3.
                                                                            Lightly whisk together the eggs, sugar and lemon juice, then add the cream and elderflower cordial. Stir in two-thirds of the lemon zest, reserving the rest for the top. Try to pop any bubbles that appear on the surface with a skewer or skim them off with a spoon.
                                                                            Pour half the lemon mixture into the tart case then put it in the oven. Once it is safely in, fill it completely to the top with the rest of the mixture (this half and half approach helps to prevent spillage) then bake for 30—35 minutes or until the tart has just set. It should still have a slight wobble in the middle.
                                                                            Leave the tart to cool completely before removing it from the tin and chilling it in the fridge. To serve, dust with confectioners' sugar and the remaining lemon zest and if you like you can add a big dollop of mascarpone mixed with whipped cream on the side.",HarperCollinsDessertTartLemonLemon JuiceLiqueurCustard
0%,0.0,The most refreshing treat of summer is just a few ingredients away.,recipe,Lemon Ice,/recipes/food/views/lemon-ice,3/4 cup sugar2 tablespoons grated lemon zest4 cups water1 teaspoon Cointreau or Grand Marnier1 1/3 cups fresh lemon juice (8 or 9 lemons)Special EquipmentIce cream maker,"Combine the sugar, lemon zest, and water in a medium saucepan and bring to a boil over medium heat, stirring to dissolve the sugar. Remove the mixture from the heat, pour into a large bowl, and allow to cool completely. Add the Cointreau or Grand Marnier and lemon juice and stir to mix thoroughly. Cover and refrigerate until well chilled, at least 4 hours.
                                                                            Churn the mixture in the ice cream maker according to the manufacturer’s instructions.
Transfer to an airtight container and freeze until firm, at least 1 hour.
                                                                            Serve the ice in paper cups or small bowls.",HarperCollinsLemonLemon JuiceFrozen DessertItalianHarperCollinsIce Cream
88%,3.5,Toss asparagus and frozen peas into boiling linguine just before the pasta has finished cooking for this 30-minute one-pot meal. Sour cream and lemon zest combine for a sprightly sauce that complements packaged smoked salmon.,recipe,One-Pot Spring Pasta,/recipes/food/views/one-pot-spring-pasta-with-smoked-salmon,"12 oz. linguine or other long pasta3/4 tsp. kosher salt, plus more1 bunch asparagus (about 1 lb.), trimmed, cut into 1""–1½"" pieces1 (10-oz.) bag frozen peas4 Tbsp. cold unsalted butter, cubed1 Tbsp. finely grated lemon zest3 Tbsp. fresh lemon juice1 cup sour cream, divided1 1/2 tsp. freshly ground pepper, plus more6 oz. smoked salmon, sliced into ½"" strips1 cup basil leaves","Cook pasta in a large pot of boiling salted water, stirring occasionally, until very al dente, 7 minutes (or 2 minutes less than package instructions). Add asparagus and continue to cook, stirring, 1 minute. Add peas and continue to cook until cooked through, about 1 minute more. Drain pasta, asparagus, and peas together, reserving 1/2 cup pasta cooking liquid.
                                                                            Transfer pasta and vegetables to a large bowl. Add butter, lemon zest, lemon juice, 1/2 cup sour cream, 1 1/2 tsp. pepper, and remaining 3/4 tsp. salt. Toss, adding reserved pasta cooking liquid bit by bit as needed, until a smooth sauce coats pasta (you might not need all the liquid).
                                                                            Divide pasta among bowls. Top with salmon, basil, and remaining 1/2 cup sour cream. Season with lots of pepper.",PastaAsparagusPeaButterLemonSour CreamSalmonBasilOne-Pot MealSpringDinnerQuick & EasySeafoodFish
91%,3.5,"Shaping meatballs into perfect spheres is too fussy for a weeknight meal. Instead, drop dollops of spiced ground chicken onto a sheet pan and roast with carrots until both are golden brown.",recipe,Freeform Chicken Meatballs,/recipes/food/views/freeform-chicken-meatballs-with-carrots-and-yogurt-sauce,"1 1/2 lb. small carrots, scrubbed, tops trimmed to about 1/2"", halved lengthwise1/2 tsp. crushed red pepper flakes5 Tbsp. extra-virgin olive oil, divided, plus more for drizzling2 1/4 tsp. kosher salt, divided1 lb. ground chicken or ground turkey6 scallions, white and pale-green parts finely chopped1 large egg, beaten to blend2 Tbsp. plain breadcrumbs3 tsp. finely grated lemon zest2 tsp. garam masala1 cup plain Greek-style yogurt, preferably full-fat2 Tbsp. fresh lemon juice, plus more for serving2 cups baby arugula or watercressFlaky sea salt","Arrange racks in upper and lower thirds of oven; preheat to 425°F. Toss carrots, red pepper flakes, 2 Tbsp. oil, and 1/2 tsp. kosher salt on a rimmed baking sheet. Roast on lower rack, tossing once halfway through, until carrots are nicely browned and fork-tender, 20–25 minutes.
                                                                            Meanwhile, mix ground chicken, scallions, egg, breadcrumbs, lemon zest, garam masala, 2 Tbsp. oil, and 1 1/2 tsp. kosher salt in a large bowl until just combined.
                                                                            Rub another rimmed baking sheet with 1 Tbsp. oil. Using your hands, scatter chicken mixture in small mounds (about 2"") on baking sheet. Roast on upper rack, turning pieces once halfway through with a spatula, until browned, crispy-edged, and cooked through, 15–20 minutes.
                                                                            Meanwhile, whisk yogurt, 2 Tbsp. lemon juice, and remaining 1/4 tsp. kosher salt in a small bowl. Spoon sauce over a platter or divide among plates, swooshing with the back of a spoon.
                                                                            Transfer carrots to baking sheet with meatballs and toss to combine. Arrange over yogurt sauce, then top with arugula. Drizzle with oil and lemon juice; season with sea salt.",CarrotChickenGreen Onion/ScallionEggBreadcrumbsLemonYogurtLemon JuiceArugulaDinnerQuick & EasyQuick and HealthyKid-FriendlySpringWinterIndianSheet-Pan DinnerSmall Plates
100%,4.0,"The uniform thickness of a butterflied boneless leg of lamb makes it extremely simple to cook and serve. This cut of meat shouldn't be hard to find, but if you get one that is boned and tied, ask your butcher to butterfly it.",recipe,Grilled Marinated Leg of Lamb,/recipes/food/views/grilled-marinated-leg-of-lamb-234655,"1/2 cup extra-virgin olive oil1/4 cup fresh lemon juice4 garlic cloves, minced1 tablespoon dried oregano (preferably Greek), crumbled2 teaspoons salt1 teaspoon black pepper1 (4 1/2- to 5-lb) butterflied boneless leg of lamb, trimmed of fat3 10- to 12-inch metal skewersSpecial Equipmenta large (2-gallon) heavy-duty sealable plastic bag; 3 or 4 (10- to 12-inch) metal skewers","Combine oil, lemon juice, garlic, oregano, salt, and pepper in sealable plastic bag. Add lamb and seal bag, pressing out air. Turn bag to coat lamb, then put bag in a shallow baking pan and marinate, chilled, turning bag over occasionally, at least 8 hours.
                                                                            Bring lamb to room temperature, about 1 hour, before grilling.
                                                                            Prepare grill for cooking over direct heat with medium-hot charcoal (moderate heat for gas); see Grilling Procedure.
                                                                            Remove lamb from marinade (discard marinade) and run 3 or 4 skewers lengthwise through lamb about 2 inches apart. Grill on a lightly oiled grill rack, covered only if using gas grill, turning over occasionally and, if necessary, moving around on grill to avoid flare-ups, until thermometer registers 125 to 128°F, 8 to 14 minutes total for medium-rare.
                                                                            Transfer lamb to a cutting board and remove skewers. Let lamb stand, loosely covered with foil, 20 minutes. (Internal temperature will rise to 135°F while meat stands.) Cut across the grain into slices.",LambGreekGarlicMarinateQuick & EasyLemonSummerGrill/BarbecueOreganoGourmetEasterSpringMeat
91%,3.5,A scattering of fresh radishes and scallion greens keeps this simple Italian sausage Instant Pot dinner feeling fresh and springy.,recipe,Instant Pot Brothy Farro with Sausage,/recipes/food/views/instant-pot-brothy-farro-with-sausage-and-leeks,"4 large or 6 small leeks, white and pale-greens parts only1 Tbsp. extra-virgin olive oil, plus more for drizzling4 fully cooked spicy Italian sausage links (about 12 oz.), sliced crosswise into 1/3""-thick rounds1 large bunch scallions (about 10)1/4 cup dry white wine1 cup farro1/2 tsp. kosher salt1/2 tsp. freshly ground black pepper4 sprigs thymeThinly sliced radishes, peperoncini, and lemon wedges (for serving)Special EquipmentAn electric pressure cooker or Instant Pot","Preheat cooker on “Sauté” setting. Trim roots off leeks and remove and discard tough outer layers, then cut leeks into 1/3""-thick rounds. Rinse well, then pat dry.
                                                                            When pressure cooker is hot, pour 1 Tbsp. oil into insert, then add sausage and cook, stirring occasionally, until browned in places, about 5 minutes.
                                                                            Meanwhile, separate white and light green parts of scallions from dark green parts. Cut white and light green parts into 1/4""-thick rounds. Finely chop dark green parts and set aside for serving.
                                                                            Add leeks and scallion white and light green parts to pressure cooker and stir to coat in oil. Add wine and cook, stirring occasionally, until wine is reduced by half and no longer smells like alcohol, about 1 minute. Add farro, salt, pepper, thyme, and 2 1/2 cups water and stir to combine, then turn off cooker.
                                                                            Lock on lid, making sure steam-release valve is in the proper sealed position. Select “Manual” and program for 3 minutes at high pressure.
                                                                            As soon as the time has elapsed, turn off cooker, ""Quick Release"" the steam, and unlock lid.
                                                                            Divide farro mixture among bowls. Top with radishes, peperoncini, and reserved scallion greens. Drizzle with oil and squeeze lemons over.",Instant PotPressure CookerLeekSausageGreen Onion/ScallionWhite WineThymeRadishLemonDinnerItalianSpring
100%,4.0,"This satisfying seafood dinner comes together in as little as 20 minutes. Cooking the fish, then making the warm, herby mustard dressing in the same skillet also means cleanup is a breeze.",recipe,Swordfish Steaks with Asparagus Salad,/recipes/food/views/swordfish-steaks-with-asparagus-and-frisee-salad,"3 Tbsp. plus 1/4 cup extra-virgin olive oil1 lb. asparagus, trimmed, cut into 2 1/2"" pieces3 1/2 tsp. kosher salt, divided4 (1""-thick) swordfish steaks (about 1 1/2 lb. total)1 Tbsp. herbes de Provence1 Tbsp. Dijon mustard1 Tbsp. red wine vinegar1/2 lemon3/4 tsp. freshly ground black pepper, divided8 cups torn frisée3 medium Persian cucumbers, thinly sliced into rounds1/2 small white onion, very thinly sliced into rings, rinsed","Heat 1 Tbsp. oil in a large skillet over medium-high. Add asparagus and cook, shaking pan occasionally, until tender and charred in spots, 3–5 minutes. Transfer asparagus to a large bowl, season with 1/2 tsp. salt, and toss to combine.
                                                                            Season swordfish all over with 1 1/2 tsp. salt. Heat 2 Tbsp. oil in same skillet over medium-high. Working in batches if needed, cook swordfish, turning occasionally, until cooked through (fish will feel firm when pressed), about 6 minutes. Transfer to a platter.
                                                                            Pour off any excess oil in pan. Pour in remaining 1/4 cup oil, then add herbes de Provence (no need to warm up the pan again). Add mustard and vinegar and whisk until sauce is creamy. Finely grate zest from lemon into sauce, then squeeze in juice lemon. Season with 1/2 tsp. salt and 1/4 tsp. pepper. Let cool slightly.
                                                                            Pour three-quarters of dressing over asparagus. Add frisée, cucumbers, and onion to bowl; season with remaining 1 tsp. salt and 1/2 tsp. pepper and toss to coat.
                                                                            Mound salad on platter next to swordfish. Spoon remaining dressing over.",AsparagusSwordfishHerbMustardVinegarLemonLettuceCucumberOnionOne-Pot MealQuick & EasyQuick and HealthyFishSpringSummerDinnerSeafood
100%,3.0,"Cervo’s restaurant in Manhattan serves a braised squid that is so rich we had to take a stab at our own version of the recipe. Slow-cooking breaks down the squid's collagen so you're left with fork-tender flesh and a tomato sauce infused with rich, briny flavor.",recipe,Slow-Cooked Squid with Olives and Herbs,/recipes/food/views/slow-cooked-squid-with-olives-and-herbs,"1 1/2 lb. cleaned squid1 1/2 oz. smoked Spanish chorizo, thinly sliced (about 1/2 cup)1 shallot, thinly sliced4 garlic cloves, thinly sliced4 oil-packed anchovies1 red Fresno chile or jalapeño, thinly sliced4 Tbsp. extra-virgin olive oil, divided, plus more for drizzling1 (28-oz.) can whole peeled tomatoesKosher salt, freshly ground pepper4 thick slices sourdough bread1 cup parsley leaves with tender stems1/2 cup mixed pitted green olives, torn if large2 Tbsp. fresh lemon juice","Preheat oven to 250°F. Separate squid bodies from tentacles. Cut bodies into 3/4""-thick rings and cut tentacles in half crosswise. Rinse well in a bowl with several changes of cold water. Drain squid and pat dry.
                                                                            Cook chorizo, shallot, garlic, anchovies, chile, and 2 Tbsp. oil in a medium Dutch oven or other heavy pot over medium heat, stirring often, until chorizo is softened but not yet beginning to crisp and shallot is softened but not yet browned, about 5 minutes. Add tomatoes, finely crushing with your hands as you go, and their juices and squid and bring to a simmer; season lightly with salt and pepper. Cover pot and transfer to oven. Cook until squid is very tender and sauce tastes concentrated, 2–2 1/2 hours. (Uncover the pot for the last 20–30 minutes to allow sauce to evaporate and thicken if needed.) Taste and season with more salt and pepper if needed.
                                                                            Toast bread until very crisp; drizzle with oil. Place in bowls and top with squid and sauce. Toss parsley, olives, lemon juice, and remaining 2 Tbsp. oil in a small bowl; season lightly with salt. Spoon over squid.
                                    Do Ahead                                        Squid can be cooked 1 day ahead. Let cool; cover and chill.",Bon AppétitDinnerSeafoodSquidOliveSausageGarlicAnchovyTomatoParsleyLemon Juice
100%,4.0,"Make the dressing in a food processor if you like, but it won’t be as smooth or have that bright green hue you get when you do it in a blender.",recipe,Green Goddess Tuna Salad Sandwich,/recipes/food/views/green-goddess-tuna-salad-sandwich,"1/4 cup basil leaves1/4 cup parsley leaves with tender stems1/4 cup tarragon leaves1/4 cup mayonnaise1/4 cup sour cream1 tsp. finely grated lemon zest2 Tbsp. plus 1 tsp. fresh lemon juice2 Tbsp. extra-virgin olive oil, plus more for drizzling1 (5-oz.) can tuna in water, drained1 celery stalk, finely chopped1 small shallot, finely chopped1 garlic clove, finely gratedKosher salt, freshly ground pepper1/2 cup coarsely chopped mixed tender herbs (such as celery leaves, basil, parsley, and/or dill)2 English muffins, split, lightly toasted","Purée basil, parsley, tarragon, mayonnaise, sour cream, lemon zest, 2 Tbsp. lemon juice, and 2 Tbsp. oil in a blender until very smooth and pale green. Transfer dressing to a medium bowl and add tuna. Using a fork, break up tuna and incorporate into dressing. Mix in celery, shallot, and garlic; season with salt and lots of pepper.
                                                                            Toss chopped mixed herbs with remaining 1 tsp. lemon juice in a small bowl. Drizzle with a little oil, season with salt and pepper, and toss again.
                                                                            Build sandwiches with English muffins, tuna salad (you may have a bit extra), and herb salad.",Bon AppétitSandwichTunaFishHerbTarragonBasilParsleySour CreamMayonnaiseLemon
100%,4.0,"You don't need a culinary school degree to cook fish with skin as crunchy as a potato chip. Grab your nonstick skillet, start the fish skin side down, and slowly raise the heat. The skin will lie flat, gradually rendering fat like a strip of bacon, while the flesh gently cooks through. You can do this. Anyone can do this.",recipe,Crispy-Skinned Fish with Herb Sauce,/recipes/food/views/crispy-skinned-fish-with-herb-sauce,"2 oil-packed anchovy fillets (optional)1 small garlic clove, thinly sliced1 cup chopped tender herbs (such as parsley, dill, and/or basil)1 Tbsp. chopped pickles (capers, cornichons, or chile)2 Tbsp. fresh lemon or lime juice or white wine vinegar6 Tbsp. (or more) extra-virgin olive oil, dividedKosher salt, freshly ground pepper4 (5–6-oz.) skin-on black bass, striped bass, snapper, or salmon filletsFlaky sea salt","Using the side of a chef’s knife, mash anchovies (if using) and garlic on a cutting board until a coarse paste forms. Mix in a medium bowl with herbs, pickles, lemon juice, and 5 Tbsp. oil. Season green sauce with kosher salt and pepper.
                                                                            Swirl remaining 1 Tbsp. oil in a large nonstick skillet to coat. Season fish generously on both sides with salt and lay, skin side down, in cold skillet. Place skillet over medium heat and let it gradually heat up until fat starts to cook out of fish, about 4 minutes. At this point you may press gently on fish so that the skin is flat against the pan. Continue to cook until skin is super-crisp and flesh is mostly opaque (you can increase or decrease heat slightly if needed, but don’t try to rush it), 8–12 minutes longer, depending on the thickness of the fish. Less fatty fish won’t release as much fat on their own, so you may need to add a splash more oil to the skillet if the skin isn’t getting crisp enough. Turn fish and cook just until opaque all the way through, about 1 minute.
                                                                            Spoon green sauce onto a platter and carefully set fish, skin side up, on top. Sprinkle with sea salt.",Bon AppétitDinnerQuick & EasyQuick and HealthySeafoodFishLemon JuiceHerbAnchovyPicklesBassSnapper
100%,4.0,We streamlined this recipe to get excellent results in an hour; serve alongside roast chicken or spooned over pan-fried fish or toasted bread.,recipe,Slow-Roasted Bell Peppers,/recipes/food/views/slow-roasted-bell-peppers,"5 yellow, orange, or red bell peppers, halved, seeds and ribs removed6 Tbsp. extra-virgin olive oil, divided, plus more for servingJuice of 1 lemon1 Tbsp. fig jam1 Tbsp. white balsamic vinegar or white wine vinegarKosher salt2 Tbsp. oregano leaves","Heat broiler. Toss peppers with 2 Tbsp. oil on a rimmed baking sheet to coat and arrange cut side down. Broil, rotating baking sheet halfway through, until skin is blackened, 12–14 minutes. Reduce oven temperature to 200°F and continue to roast peppers until very soft but not mushy, about 1 hour. Let cool slightly, then scrape off and discard skins. Cut peppers lengthwise into 1/2""-wide strips.
                                                                            Whisk lemon juice, jam, vinegar, and 4 Tbsp. oil in a medium bowl. If fig jam is very coarse, use a fork to mash into smaller pieces; season dressing with salt. Mix in peppers; taste and season well with salt. Toss to coat.
                                                                            Just before serving, mix in oregano and drizzle generously with more oil.
                                                                            Peppers (without oregano) can be made 2 days ahead. Cover; chill.",Bon AppétitCondiment/SpreadCondimentBell PepperLemon JuiceQuick and HealthyQuick & EasyVegetarianVeganWheat/Gluten-FreeVegetable
0%,0.0,"This simple dish of fresh smashed avocado, ripe heirloom tomato, and perfectly poached eggs is finished delicately with fresh lemon juice, herbs, and sea salt.",recipe,Avo and Egg,/recipes/food/views/avocado-and-egg-toast,"1/2 cup Avo Smash2 slices multigrain bread (square Pullman loaf, if possible), toasted3 slices heirloom tomato1 poached eggPinch of herb salt or flaky sea salt1 teaspoon Meyer lemon oil1 Meyer lemon wedgeFresh herb salad of your choice","Spread Avo Smash on both pieces of toast. Cut one slice in diagonally in half and top the other with tomato slices and the poached egg.
                                                                            To serve, slightly separate the halved avo toast and place the other half with the tomato and poached egg on top. Finish the toasts with the herb salt, lemon oil, and a squeeze of Meyer lemon juice. Top with a little fresh herb salad.",HarperCollinsHarperCollinsBreakfastBrunchAvocadoBreadTomatoLemonEggQuick & EasyQuick and Healthy
100%,1.0,Be sure to roll the meatballs firmly into the millet so that the tiny grains don't fall off during frying.,recipe,Fried Meatballs with Tahini Sauce,/recipes/food/views/deep-fried-beef-and-millet-meatballs-with-tahini-sauce,"Meatballs:1/2 cup millet1 lb. ground beef chuck (20% fat)5 garlic cloves, finely grated1 tsp. ground coriander1 tsp. freshly ground black pepper1 1/2 tsp. kosher salt, plus moreSauce and assembly:Vegetable oil (for frying; about 9 cups)1/2 cup tahini1 garlic clove, finely grated3 Tbsp. fresh lemon juiceSpecial EquipmentA deep-fry thermometer","Meatballs                                        Cook millet in a dry medium skillet over medium heat, stirring occasionally, until fragrant and lightly toasted, about 3 minutes. Transfer to a small bowl and let cool.
                                                                            Meanwhile, mix beef, garlic, coriander, pepper, and 1 1/2 tsp. salt in a medium bowl with your hands just to combine; be careful not to overwork.
                                                                            Working one at a time, roll meat mixture loosely between your palms into 1 3/4"" balls (you should have about 18) and place on a rimmed baking sheet. Roll each ball in toasted millet, pressing and packing firmly into meat with your palms. Repeat process as needed until completely coated. Chill meatballs at least 20 minutes and up to 2 hours (this will help the millet adhere during frying).
                                    Sauce and assembly:                                        Pour oil into a large heavy pot fitted with a deep-fry thermometer to come 1 1/2"" up sides; heat over medium until thermometer hits 350°F.
                                                                            Meanwhile, combine tahini and garlic in a medium bowl. Gradually add 6 Tbsp. water, then lemon juice, whisking constantly until sauce is smooth and pourable. Season with salt.
                                                                            Using a slotted spoon, gently lower meatballs into oil and fry undisturbed 2 1/2 minutes (millet will be light golden). Transfer to a baking sheet lined with paper towels; season lightly with salt. Serve meatballs with tahini sauce.",Bon AppétitAppetizerGround BeefBeefGrainsGarlicMiddle EasternCorianderSesameLemon JuiceDeep-FryFryMeatballHors D'Oeuvre
100%,4.0,"For extra chicken flavor, cook flattened boneless, skinless chicken breasts in rendered chicken fat, then use that same fat to toast croutons for a delicious, crunchy topping.",recipe,Chicken Paillards with Schmaltz Bread Salad,/recipes/food/views/chicken-paillards-with-schmaltz-bread-salad,"2 skinless, boneless chicken breasts (6–8 oz. each)1 1/2 tsp. kosher salt, divided1 1/4 tsp. freshly ground black pepper, divided3 Tbsp. schmaltz (chicken fat) or extra-virgin olive oil, divided2 thick slices country-style white bread, torn into 1/4""–1/2"" pieces (about 2 cups loosely packed)2 mini seedless or Persian cucumbers, thinly sliced3 radishes, trimmed, thinly sliced1/2 cup parsley leaves with tender stems2 Tbsp. fresh lemon juice1/4 tsp. crushed red pepper flakes","Working one at a time, pound chicken between 2 sheets of plastic wrap or in a large resealable plastic bag to 1/2"" thick; season with 1 tsp. salt and 1 tsp. pepper.
                                                                            Heat 1 Tbsp. schmaltz in a large nonstick or cast-iron skillet over high. Carefully place 1 chicken breast in skillet, laying it away from you, and cook until golden brown and nearly cooked through, about 4 minutes. Turn and cook until cooked through, about 1 minute (second side will not brown). Transfer to a large plate. Repeat with 1 Tbsp. schmaltz and remaining cutlet.
                                                                            Reduce heat to medium and add remaining 1 Tbsp. schmaltz to same skillet. As soon as schmaltz is hot, add bread and toss to coat. Pour any accumulated juices from plate with chicken over bread and continue to cook bread, stirring constantly, until golden brown and outsides are lightly crisped but centers are still soft, about 3 minutes. Season with 1/2 tsp. salt and remaining 1/4 tsp. pepper and toss to combine. Remove skillet from heat.
                                                                            Toss cucumbers, radishes, parsley, lemon juice, red pepper flakes, and remaining 1/4 tsp. salt in a large bowl. Add bread and toss again to distribute.
                                                                            Transfer chicken to a platter. Top with salad.",ChickenBreadSaladCucumberRadishParsleyLemon JuiceDinnerQuick & EasyKid-FriendlyDairy FreeSpringSmall Plates
100%,3.5,"The sweet, spicy, and tart flavors in this coconut-turmeric relish make it a perfect match with cauliflower.",recipe,Coconut-Turmeric Relish,/recipes/food/views/coconut-turmeric-relish,"1/4 cup golden raisins1/4 cup fresh lemon juice4 garlic cloves, thinly sliced1/3 cup extra-virgin olive oil1/4 cup unsweetened coconut flakes1 Fresno chile, seeds removed, finely chopped1 1/2"" piece ginger, peeled, finely grated1 Tbsp. mustard seeds1/2 tsp. ground turmericKosher salt, freshly ground pepper","Combine raisins and lemon juice in a small bowl; let sit 15–20 minutes for raisins to plump.
                                                                            Meanwhile, combine garlic, oil, and coconut in a small saucepan and set over medium-low heat. Cook, swirling pan often, until oil is bubbling and garlic and coconut are golden, 6–8 minutes. Remove from heat immediately and stir in chile, ginger, mustard seeds, and turmeric. Transfer to a heatproof measuring glass and let cool.
                                                                            Add raisins and lemon juice to garlic mixture and toss to coat; season relish with salt.",Bon AppétitCondiment/SpreadCondimentRaisinCoconutGingerLemon JuiceChileMustardVegetarianVeganWheat/Gluten-Free
100%,4.0,"Slow-roasting salmon is a sure-fire, never-fail technique for tender, flaky fish. Coating it with harissa paste ensures it’s flavorful too.",recipe,Slow-Roasted Salmon with Harissa,/recipes/food/views/slow-roasted-salmon-with-harissa,"1/3 cup extra-virgin olive oil1/4 cup harissa paste (preferably New York Shuk)1 garlic clove, grated1 lemon, halved1 (2-lb.) skinless center-cut salmon filletKosher saltMixed tender herbs (such as parsley, cilantro, dill, and/or chives; for serving)","Preheat oven to 275°F. Whisk oil, harissa, and garlic in a medium bowl. Pour half of harissa oil into a 2.5-qt. baking dish and swirl to coat. Thinly slice a lemon half and remove any seeds; scatter slices in dish.
                                                                            Season salmon on all sides with salt and place in dish. Pour remaining harissa oil over salmon, spreading evenly over flesh with a pastry brush or spoon. Roast 15 minutes. Remove from oven and baste fish with harissa oil pooled in dish. Return to oven and continue to roast until flesh flakes apart easily with a spoon but is not quite cooked through, 10–20 minutes longer.
                                                                            Use spoon to break up salmon into irregular pieces. Arrange salmon and lemon slices on a platter. Drizzle with any harissa oil left in dish, squeeze remaining lemon half over, and scatter some herbs around.",Bon AppétitDinnerQuick & EasyQuick and HealthySeafoodFishSalmonChile PepperLemon
100%,4.0,Toss this simple dressing through an easy summer salad.,recipe,Lemon Dijon Dressing,/recipes/food/views/shallot-lemon-dijon-salad-dressing,1 tablespoon diced shallot2 teaspoons Dijon mustard1 teaspoon honey2 tablespoons olive oil1 tablespoon red wine vinegarJuice of 1 lemon,"Combine all the ingredients in a food processor, pulsing until the mixture is well combined.",HarperCollinsHarperCollinsSalad DressingLemon JuiceMustardHoneyVinegarShallot
75%,3.0,"This fresh, vegetable-packed soup is perfect for those chilly spring days when you're craving a bowl of something warm.",recipe,Three-Bean Soup,/recipes/food/views/three-bean-soup,"2 medium leeks, dark green parts removed1 head of garlic, cloves separated3 oz. bacon, chopped2 Tbsp. plus 1/2 cup extra-virgin olive oil, plus more for drizzling2 small fennel bulbs, finely chopped, fronds reserved1 celery stalk, finely chopped3 sprigs thyme1 bay leaf1 Tbsp. plus 3/4 tsp. kosher salt3/4 cup dried large lima beans, soaked overnight3/4 tsp. red pepper flakes8 oz. Romano beans, cut into 1"" pieces8 oz. sugar snap peas, trimmed, halved crosswise1/2 small bunch dill1 lemon1/4 cup crème fraîche or sour cream1 tsp. freshly ground black pepper2 oz. Parmesan, shavedToasted crusty bread (for serving)","Quarter leeks lengthwise, then cut crosswise into 1/2"" pieces. Rinse leeks in a fine-mesh strainer and pat dry with paper towels. Smash garlic cloves with the flat side of a chef’s knife and peel; set 2 cloves aside.
                                                                            Cook bacon in a large Dutch oven or other heavy pot over medium heat, stirring, until golden brown and starting to crisp, 8–10 minutes. Add smashed garlic and 2 Tbsp. oil and cook, stirring often, until garlic is just beginning to turn golden 3–4 minutes. Add leeks, chopped fennel, celery, thyme, bay leaf, and 1 Tbsp. salt. Cook, stirring often, until vegetables are beginning to soften, about 4 minutes. Add lima beans, red pepper flakes, and 6 cups water and bring to a simmer. Partially cover pot, reduce heat to low, and gently simmer, occasionally skimming and discarding any foam that rises to the surface, until beans are slightly crunchy but not quite creamy, 25 minutes. Add Romano beans and snap peas, return to a simmer, and continue to cook, adding just enough water to keep beans submerged, until dried beans are creamy and fresh beans are just cooked through, about 15 minutes more.
                                                                            Meanwhile, pulse dill, zest of whole lemon, fennel fronds, and 1 reserved garlic clove in a food processor until finely chopped. With the motor running, stream in 1/2 cup oil. Add 3/4 tsp. salt and squeeze in 2 tsp. lemon juice. Transfer pesto to a small bowl and set aside.
                                                                            Remove stew from heat and stir in crème fraîche, black pepper, and 4 tsp. lemon juice. Taste and adjust seasoning.
                                                                            Rub bread with remaining garlic clove, drizzle with oil, and season lightly with salt.
                                                                            Ladle soup into bowls. Drizzle with pesto, then top with shaved Parmesan. Serve with garlic bread and remaining pesto alongside.",Soup/StewLeekGarlicBaconFennelCeleryThymeLima BeanBeanSugar Snap PeaDillLemonParmesanBread
80%,3.5,"Turn store-bought rotisserie chicken (or leftover turkey, if you still have some kicking around) into a hearty soup in about half an hour. Fresh dill and lemon add a nice dose of brightness.",recipe,Lentil and Chicken Soup with Sweet Potatoes,/recipes/food/views/lentil-and-chicken-soup-with-sweet-potatoes-and-escarole,"1 cooked chicken carcass (from 1 store-bought rotisserie chicken or homemade roast chicken)1 lb. sweet potatoes (about 2 medium), peeled, cut into 1"" pieces3/4 cup French lentils (about 5 oz.), rinsed1 tsp. kosher salt, plus more2 Tbsp. extra-virgin olive oil10 celery stalks, sliced on the bias into 1/4"" slices6 garlic cloves, thinly sliced1 1/2 cups shredded cooked chicken (from 1/2 of a store-bought rotisserie chicken or homemade roast chicken)1/2 head escarole, cut into bite-size pieces1/2 cup finely chopped dill2 Tbsp. fresh lemon juice","Place chicken carcass, potatoes, lentils, and 1 tsp. salt in a large pot. Cover with 8 cups water. Bring to a boil over high heat, skimming off any foam, then reduce heat to medium-low and simmer until potatoes are fork tender and lentils are cooked through, 10–12 minutes. Discard chicken carcass.
                                                                            Meanwhile, heat oil in a large heavy skillet over medium-high. Add celery and garlic and cook, stirring often, until celery and garlic are lightly golden brown and tender, about 12 minutes.
                                                                            Stir celery, garlic, shredded chicken, and escarole into soup and cook, stirring occasionally, until escarole is wilted, about 5 minutes. Remove from heat. Stir in dill and lemon juice; season soup with salt.",Soup/StewChickenSweet Potato/YamLentilCeleryGarlicEscaroleDillLemon JuiceWheat/Gluten-FreeQuick and HealthyHealthyWinterDinner
